date,open,high,low,close,adjclose,volume,moving_avg,increase_rate_vol,increase_rate_adjclose,AAPL_open,AAPL_high,AAPL_low,AAPL_close,AAPL_adjclose,lgchem_open,lgchem_close,lgchem_high,lgchem_low,lginnotek_open,lginnotek_close,lginnotek_high,lginnotek_low,compound,new_us_cases,new_us_deaths,new_ca_cases,new_ca_deaths
2018-07-13,63.116,63.916,61.85,63.774,63.774,29349000.0,62.73119999999988,0.025973571977906732,0.006820119352088695,47.77,47.96,47.725,47.8325,46.4758,328000.0,335000.0,338500.0,327500.0,158000.0,160000.0,163500.0,157000.0,0.0,0.0,0.0,0.0,0.0
2018-07-16,62.342,63.032,61.25,62.02,62.02,39093500.0,62.83379999999988,0.3320215339534567,-0.02750337127983187,47.88,48.1625,47.605,47.7275,46.3738,338000.0,328000.0,340500.0,327500.0,160000.0,162000.0,163500.0,160000.0,0.0,0.0,0.0,0.0,0.0
2018-07-17,61.762,64.948,61.7,64.538,64.538,34981000.0,62.94819999999988,-0.1051965160448668,0.04059980651402763,47.4375,47.9675,47.3,47.8625,46.505,328500.0,321500.0,329000.0,317000.0,163000.0,158000.0,163500.0,157000.0,0.0,0.0,0.0,0.0,0.0
2018-07-18,65.0,65.1,63.25,64.77,64.77,28121000.0,63.03251999999988,-0.19610645779137245,0.0035947813691158594,47.945,47.95,47.4825,47.6,46.2499,323000.0,331000.0,333000.0,323000.0,160000.0,160000.0,162500.0,159000.0,0.0,0.0,0.0,0.0,0.0
2018-07-19,63.266,64.708,62.802,64.046,64.046,29576500.0,63.105559999999876,0.05175847231606273,-0.01117801451289161,47.4225,48.1375,47.4225,47.97,46.6095,335000.0,336000.0,339000.0,332000.0,161000.0,158000.0,161500.0,156500.0,0.0,0.0,0.0,0.0,0.0
2018-07-20,64.246,64.648,62.342,62.716,62.716,25811000.0,63.13247999999988,-0.12731391476341014,-0.020766324204478114,47.945,48.1075,47.5425,47.86,46.5026,336000.0,332500.0,337500.0,331000.0,159000.0,158500.0,160500.0,156500.0,0.0,0.0,0.0,0.0,0.0
2018-07-23,60.368,61.1,58.572,60.64,60.64,54964500.0,63.12519999999988,1.129499050792298,-0.03310160086740226,47.67,47.99,47.39,47.9025,46.5439,336500.0,333000.0,341000.0,331000.0,157000.0,155000.0,158500.0,150500.0,0.0,0.0,0.0,0.0,0.0
2018-07-24,60.884,61.544,58.51,59.486,59.486,47954000.0,63.110679999999874,-0.12754596148423072,-0.019030343007915625,48.1125,48.415,48.0125,48.25,46.8815,335000.0,330500.0,338500.0,327500.0,155500.0,161000.0,161500.0,155500.0,0.0,0.0,0.0,0.0,0.0
2018-07-25,59.348,61.924,58.9,61.748,61.748,35377000.0,63.17775999999988,-0.2622721775034408,0.038025753958914714,48.265,48.7125,48.1075,48.705,47.3236,346000.0,361500.0,363500.0,344500.0,163000.0,162500.0,163000.0,160000.0,0.0,0.0,0.0,0.0,0.0
2018-07-26,60.97,62.14,60.728,61.33,61.33,23152500.0,63.267639999999886,-0.3455493682335981,-0.006769450022672787,48.6525,48.99,48.4025,48.5525,47.1754,364000.0,372500.0,374000.0,362000.0,163500.0,158500.0,166500.0,157000.0,0.0,0.0,0.0,0.0,0.0
2018-07-27,61.45,61.538,59.068,59.436,59.436,28516500.0,63.310439999999886,0.2316812439261419,-0.030882113158323794,48.7475,48.7975,47.525,47.745,46.3908,376000.0,374500.0,379500.0,367000.0,159500.0,160500.0,161500.0,157500.0,0.0,0.0,0.0,0.0,0.0
2018-07-30,59.18,59.22,57.226,58.034,58.034,34070500.0,63.33295999999989,0.19476443462556767,-0.023588397604145654,47.975,48.05,47.2675,47.4775,46.1309,375500.0,377000.0,380500.0,370500.0,161000.0,163000.0,166500.0,161000.0,0.0,0.0,0.0,0.0,0.0
2018-07-31,58.45,59.664,57.814,59.628,59.628,25384500.0,63.4182399999999,-0.25494195858587343,0.02746665747665164,47.575,48.035,47.335,47.5725,46.2232,377500.0,375000.0,378500.0,372500.0,162500.0,163000.0,164000.0,160000.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,59.598,60.6,58.6,60.168,60.168,50647000.0,63.483639999999895,0.99519391754811,0.009056148118333654,49.7825,50.44,49.3275,50.375,48.9462,376500.0,374500.0,382500.0,368500.0,166500.0,162500.0,170000.0,159000.0,0.0,0.0,0.0,0.0,0.0
