date,ticker,link,headline,neg,neu,pos,compound
2020-01-04,TSLA,https://www.investing.com/news/technology-news/germanys-bosch-to-offer-lowercost-sensors-for-selfdriving-cars-2050950,Germany's Bosch to offer lower-cost sensors for self-driving cars By Reuters,0.024,0.911,0.064,0.97
2020-01-05,TSLA,https://www.investing.com/news/stock-market-news/musks-moment-of-truth-arrives-with-madeinchina-teslas-2052673,Musk’s Moment of Truth Arrives With Made-in-China Teslas By Bloomberg,0.029,0.923,0.047,0.9412
2020-01-07,TSLA,https://www.investing.com/news/technology-news/german-carmakers-eye-brandenburg-after-tesla-expansion-push-2053736,German carmakers eye Brandenburg after Tesla expansion push By Reuters,0.028,0.928,0.045,0.6124
2020-01-07,TSLA,https://www.investing.com/news/economy/top-5-things-to-watch-on-tuesday-jan-7-2053763,"Top 5 Things to Watch on Tuesday, Jan. 7 By Investing.com",0.129,0.764,0.107,-0.959
2020-01-07,TSLA,https://www.investing.com/news/stock-market-news/stocks--sp-falls-as-usiran-tensions-still-unsettle-risk-appetite-2054391,Stocks - S&P Falls as U.S.-Iran Tensions Still Unsettle Risk Appetite By Investing.com,0.08,0.792,0.128,0.836
2020-01-07,TSLA,https://www.investing.com/news/stock-market-news/tesla-starts-work-on-model-y-program-at-shanghai-factory-2053693,Stripteasing Musk launches Tesla SUV program in China By Reuters,0.012,0.927,0.061,0.9764
2020-01-08,TSLA,https://www.investing.com/news/stock-market-news/premarket-movers--boeing-wallgreens-telsa-in-view-2054915,"Pre-market Movers - Boeing, Wallgreens, Telsa in view By Investing.com",0.036000000000000004,0.871,0.093,0.6124
2020-01-08,TSLA,https://www.investing.com/news/technology-news/two-us-auto-trade-groups-merge-as-regulatory-issues-loom-2054878,Two U.S. auto trade groups merge as regulatory issues loom By Reuters,0.044,0.8959999999999999,0.06,0.6375
2020-01-08,TSLA,https://www.investing.com/news/technology-news/teslas-market-value-eclipses-gm-and-ford--combined-2055264,Tesla's market value zooms past that of GM and Ford - combined By Reuters,0.029,0.841,0.13,0.9933
2020-01-09,TSLA,https://www.investing.com/news/technology-news/us-safety-agency-opens-probe-into-fatal-tesla-crash-in-indiana-2055503,U.S. safety agency opens probe into fatal Tesla crash in Indiana By Reuters,0.101,0.8390000000000001,0.06,-0.9163
2020-01-09,TSLA,https://www.investing.com/news/stock-market-news/stocks--wall-street-to-post-strong-gains-at-open-2055787,Stocks - Wall Street to Post Strong Gains at Open By Investing.com,0.05,0.868,0.083,0.802
2020-01-09,TSLA,https://www.investing.com/news/stock-market-news/premarket-movers--bed-bath--beyond-and-jc-penney-in-focus-2055885,"Pre-market Movers - Bed, Bath & Beyond and JC Penney in focus By Investing.com",0.066,0.861,0.073,0.1531
2020-01-09,TSLA,https://www.investing.com/news/technology-news/how-big-tech-is-helping-transform-cars-into-smartphones-2055731,How Big Tech is helping transform cars into smartphones By Reuters,0.025,0.875,0.099,0.9937
2020-01-09,TSLA,https://www.investing.com/news/stock-market-news/stockbeat-tesla-skids-as-longtime-bull-moves-to-sidelines-2056209,StockBeat: Tesla Skids as Long-Time Bull Moves to Sidelines By Investing.com,0.03,0.858,0.112,0.9674
2020-01-09,TSLA,https://www.investing.com/news/stock-market-news/fiat-will-effectively-fund-teslas-german-factory-baird-says-2056310,"Fiat Will Effectively Fund Tesla’s German Factory, Baird Says By Bloomberg",0.008,0.917,0.075,0.9337
2020-01-09,TSLA,https://www.investing.com/news/stock-market-news/chinas-smallcap-rally-is-sending-a-bullish-signal-on-economy-2056346,China’s Small-Cap Rally Is Sending a Bullish Signal on Economy By Bloomberg,0.031,0.853,0.116,0.9928
2020-01-10,TSLA,https://www.investing.com/news/stock-market-news/chinas-smallcap-rally-is-showing-a-bullish-sign-on-economy-2056530,China’s Small-Cap Rally Is Showing a Bullish Sign on Economy By Bloomberg,0.037000000000000005,0.84,0.124,0.9945
2020-01-11,TSLA,https://www.investing.com/news/stock-market-news/3-things-under-the-radar-this-week-2057318,3 Things Under the Radar This Week By Investing.com,0.022,0.905,0.073,0.9794
2020-01-13,TSLA,https://www.investing.com/news/stock-market-news/electric-car-stocks-jump-as-china-signals-lull-in-subsidy-cuts-2057717,Electric Car Stocks Jump as China Signals Lull in Subsidy Cuts By Bloomberg,0.01,0.89,0.1,0.9858
2020-01-13,TSLA,https://www.investing.com/news/stock-market-news/tech-sector-leads-stocks-higher-bonds-decline-markets-wrap-2058162,Tech Sector Leads Stocks Higher; Bonds Decline: Markets Wrap By Bloomberg,0.044,0.82,0.13699999999999998,0.9864
2020-01-13,TSLA,https://www.investing.com/news/stock-market-news/tesla-stock-tops-500-for-first-time-china-analyst-enthusiasm-help-2058194,"Tesla Stock Tops $500 for First Time; China, Analyst Enthusiasm Help By Investing.com",0.048,0.831,0.12,0.9169
2020-01-13,TSLA,https://www.investing.com/news/stock-market-news/tech-leads-stocks-to-record-highs-bonds-decline-markets-wrap-2058249,Tech Leads Stocks to Record Highs; Bonds Decline: Markets Wrap By Bloomberg,0.048,0.8320000000000001,0.12,0.98
2020-01-13,TSLA,https://www.investing.com/news/stock-market-news/stocks--sp-nasdaq-hit-alltime-highs-as-tech-continues-to-shine-2058357,"Stocks - S&P, Nasdaq Hit All-Time Highs as Tech Continues to Shine By Investing.com",0.021,0.923,0.056,0.8979
2020-01-14,TSLA,https://www.investing.com/news/stock-market-news/musk-nears-346-million-payday-as-tesla-market-value-soars-2058794,Musk nears $346 million payday as Tesla market value soars By Reuters,0.024,0.86,0.116,0.9941
2020-01-14,TSLA,https://www.investing.com/news/stock-market-news/us-regulators-to-review-2018-fatal-tesla-crash-in-california-2059135,U.S. agency to determine cause of 2018 fatal Tesla 'Autopilot' crash By Reuters,0.161,0.773,0.067,-0.9937
2020-01-16,TSLA,https://www.investing.com/news/stock-market-news/new-tesla-registrations-in-california-nearly-halves-in-fourth-quarter-data-2060602,New Tesla registrations in California nearly halves in fourth quarter: data By Reuters,0.023,0.95,0.026,0.1531
2020-01-16,TSLA,https://www.investing.com/news/stock-market-news/hyundai-kia-invest-110-million-in-uk-electric-van-startup-arrival-ltd-2060670,"Hyundai, Kia invest $110 million in UK electric van startup Arrival Ltd By Reuters",0.049,0.921,0.03,-0.8807
2020-01-16,TSLA,https://www.investing.com/news/stock-market-news/tesla-says-plans-to-open-china-design-and-research-center-2060706,Tesla says it plans to open China design and research center By Reuters,0.013,0.852,0.135,0.9769
2020-01-16,TSLA,https://www.investing.com/news/stock-market-news/stocks--morgan-stanley-hits-20mo-high-in-premarket-on-strong-q4-2060941,Stocks - Morgan Stanley Hits 20-Mo High in Premarket on Strong Q4 By Investing.com,0.04,0.894,0.067,0.8176
2020-01-16,TSLA,https://www.investing.com/news/economy/comic-markets-brace-for-earnings-parade-as-wall-street-notches-fresh-record-highs-2060952,Comic: Markets Brace for Earnings Parade as Wall Street Notches Fresh Record Highs By Investing.com,0.0,0.954,0.046,0.8176
2020-01-16,TSLA,https://www.investing.com/news/stock-market-news/wall-street-analysts-still-shy-away-from-tesla-bandwagon-2061197,Wall Street Analysts Still Shy Away From Tesla Bandwagon By Investing.com,0.066,0.867,0.068,-0.5158
2020-01-17,TSLA,https://www.investing.com/news/stock-market-news/exclusive-volkswagen-to-buy-20-of-chinese-battery-maker-guoxuan-amid-electric-push--sources-2061661,Exclusive: Volkswagen to buy 20% of Chinese battery maker Guoxuan amid electric push - sources By Reuters,0.004,0.924,0.07200000000000001,0.9839
