,Link,Date,Headline,neg,neu,pos,compound
51,https://www.investing.com/news/stock-market-news/iphone-maker-wades-into-electric-cars-with-fiat-joint-venture-2061346,2020-01-16,IPhone Maker Wades Into Electric Cars With Fiat Joint Venture By Bloomberg,0.006,0.94,0.054,0.8893
52,https://www.investing.com/news/technology-news/factbox-big-tech-and-their-carbon-pledges-2061275,2020-01-16,Factbox: Big Tech and their carbon pledges By Reuters,0.014,0.913,0.073,0.9819
53,https://www.investing.com/news/stock-market-news/stocks--wall-street-clinches-fresh-record-google-joins-1-trillion-club-2061454,2020-01-16,Stocks - Wall Street Clinches Fresh Record; Google Joins $1 Trillion Club By Investing.com,0.05,0.813,0.137,0.9578
54,https://www.investing.com/news/stock-market-news/alphabet-public-market-capitalization-tops-1-trillion-2061459,2020-01-16,Alphabet public market capitalization tops $1 trillion By Reuters,0.0,0.933,0.067,0.4588
55,https://www.investing.com/news/technology-news/comcast-late-to-the-streaming-party-to-give-details-of-nbcs-peacock-service-2060807,2020-01-17,"Comcast bets ads work on streaming TV, plans NBC Peacock debut for April By Reuters",0.025,0.917,0.059,0.959
56,https://www.investing.com/news/stock-market-news/which-company-just-hit-1-trillion-google-it-2061493,2020-01-17,Which company just hit $1 trillion? Google it. By Reuters,0.027,0.878,0.095,0.987
57,https://www.investing.com/news/economy/take-five-a-week-in-central-banking-2062063,2020-01-17,Take Five: A week in central banking By Reuters,0.053,0.847,0.1,0.9934
58,https://www.investing.com/news/stock-market-news/wall-streets-trilliondollar-club-dwarfs-europe-inc-2062103,2020-01-17,Wall Street's trillion-dollar club dwarfs Europe Inc By Reuters,0.016,0.859,0.125,0.9761
59,https://www.investing.com/news/stock-market-news/stockbeat-apple-in-crosshairs-on--iphone-5g-debate-2062263,2020-01-17,StockBeat: Apple in Crosshairs on  iPhone 5G Debate By Investing.com,0.072,0.881,0.047,-0.4723
60,https://www.investing.com/news/stock-market-news/stocks--sp-caps-week-with-record-highs-as-tech-keeps-shining-2062395,2020-01-17,Stocks - S&P Caps Week With Record Highs as Tech Keeps Shining By Investing.com,0.047,0.845,0.108,0.93
61,https://www.investing.com/news/stock-market-news/with-market-at-record-highs-eyes-on-reports-from-chipmakers-2062440,2020-01-17,"With market at record highs, eyes on reports from chipmakers By Reuters",0.034,0.875,0.091,0.9887
62,https://www.investing.com/news/technology-news/break-up-big-techs-monopoly-smaller-rivals-join-growing-chorus-ahead-of-congress-hearing-2061808,2020-01-17,"Break up big tech's 'monopoly', smaller rivals tell Congress hearing By Reuters",0.053,0.88,0.067,0.7814
63,https://www.investing.com/news/general/apples-morning-show-will-deal-with-chaos-left-behind-in-new-season-2062851,2020-01-19,Apple's 'Morning Show' will deal with 'chaos' left behind in new season By Reuters,0.101,0.817,0.081,-0.6369
64,https://www.investing.com/news/general/brad-pitt-joaquin-phoenix-up-for-more-awards-at-hollywoods-sag-ceremony-2062739,2020-01-20,"'Parasite' scores historic upset at SAG awards, boosting Oscar chances By Reuters",0.051,0.732,0.217,0.999
65,https://www.investing.com/news/technology-news/apples-cook-says-global-corporate-tax-system-must-be-overhauled-2063106,2020-01-20,Apple's Cook says global corporate tax system must be overhauled By Reuters,0.014,0.904,0.082,0.9727
66,https://www.investing.com/news/stock-market-news/wincrest-net-short-us-stocks-says-lofty-valuations-dangerous-2063273,2020-01-20,"Wincrest, net short U.S. stocks, says lofty valuations dangerous By Reuters",0.037,0.809,0.154,0.9956
67,https://www.investing.com/news/stock-market-news/stocks--halliburton-uber-rise-in-premarket-boeing-lags-2063801,2020-01-21,"Stocks - Halliburton, Uber Rise in Premarket; Boeing Lags By Investing.com",0.038,0.872,0.09,0.9517
68,https://www.investing.com/news/technology-news/disney-moves-up-uk-western-europe-launch-by-a-week-2063697,2020-01-21,"Disney+ to launch in UK, Western Europe earlier than planned By Reuters",0.0,0.935,0.065,0.946
